Animal,Class,Scientific Name,Sound / Vocalization,Emotion Label,Context / Trigger
Jungle Owlet,Bird,Glaucidium radiatum,Purring or soft chatter,Affiliative/Relaxed,near nesting site
Butterfly,Insect,Lepidoptera,Warning buzz,Threat,
Indian Bullfrog,Amphibian,Hoplobatrachus tigerinus,Subsurface bubbles,Neutral,near nesting site
King Cobra variant 69,Reptile,Ophiophagus hannah,Slow low moan,Distress,
Indian Roller variant 7,Bird,Coracias benghalensis,"Alarm call, harsh chips",Alarm/Alert,
Water Buffalo,Mammal,Bubalus bubalis,Chittering,Playful,at dusk
Common Kingfisher variant 10,Bird,Alcedo atthis,Fleeing chatter,Fear/Escape,
Arctic Fox,Mammal,Vulpes lagopus,Chittering,Playful,
Chital,Mammal,Axis axis,"Roar, long call",Territorial/Aggressive,when threatened
Common Krait,Reptile,Bungarus caeruleus,Hiss,Threat/Defense,
Gaur,Mammal,Bos gaurus,"Purr, contented vocalization",Contentment/Relaxed,
Bar-headed Goose,Bird,Anser indicus,Mobbing calls,Group Alarm,
Garden Lizard,Reptile,Calotes versicolor,Aggressive lunge sound,Aggression,
Indian Rhinoceros,Mammal,Rhinoceros unicornis,"Purr, contented vocalization",Contentment/Relaxed,
Water Buffalo,Mammal,Bubalus bubalis,Mating call (vocal),Courtship/Excited,
Garden Lizard,Reptile,Calotes versicolor,Splash (aquatic),Startle/Escape,during foraging
Ibis,Bird,Threskiornis sp.,"Mimicry, learned sounds",Curiosity/Exploration,in presence of human
Black Drongo variant 12,Bird,Dicrurus macrocercus,"Mimicry, learned sounds",Curiosity/Exploration,during mating display
Fantail,Bird,Rhipidura sp.,Mobbing calls,Group Alarm,in presence of human
Dragonfly,Insect,Odonata,Mating buzz,Courtship,during foraging
Dhole variant 51,Mammal,Cuon alpinus,Chittering,Playful,
Domestic Cat,Mammal,Felis catus,Sniffing/grunting,Exploration/Foraging,at dawn
Indian Palm Squirrel variant 46,Mammal,Funambulus palmarum,Hiss,Threat/Avoidance,
Chital variant 41,Mammal,Axis axis,"Purr, contented vocalization (variant)",Contentment/Relaxed,
Indian Grey Hornbill,Bird,Ocyceros birostris,Aggressive scolding,Aggression/Defense,
Mugger Crocodile,Reptile,Crocodylus palustris,Rattle (some species),Warning,
Bald Eagle,Bird,Haliaeetus leucocephalus,Aggressive scolding,Aggression/Defense,
Tilapia,Fish,Oreochromis niloticus,Grunting (some),Aggression,
Wild Yak,Mammal,Bos grunniens,"Roar, long call",Territorial/Aggressive,
Nilgai,Mammal,Boselaphus tragocamelus,"Roar, long call",Territorial/Aggressive,
Fantail Flycatcher,Bird,Rhipidura,Fleeing chatter,Fear/Escape,
Indian Grey Hornbill,Bird,Ocyceros birostris,"Song, melodious trills",Courtship/Excited,at dawn
Red Panda,Mammal,Ailurus fulgens,"Purr, contented vocalization",Contentment/Relaxed,in presence of human
Indian Pangolin variant 48,Mammal,Manis crassicaudata,"Trumpet, rumble",Alarm/Excited,
Gharial,Reptile,Gavialis gangeticus,Tongue-flick (non-vocal),Exploration,
Honey Bee,Insect,Apis cerana,Swarm roar,Excitement,
Asian Openbill variant 30,Bird,Anastomus oscitans,"Mimicry, learned sounds",Curiosity/Exploration,
Nilgiri Tahr,Mammal,Nilgiritragus hylocrius,Mating call (vocal),Courtship/Excited,in presence of human
Hanuman Langur variant 45,Mammal,Semnopithecus entellus,"Growl, snarl",Aggression,at dusk
Arctic Fox,Mammal,Vulpes lagopus,Mating call (vocal),Courtship/Excited,
Indian Rock Python variant 68,Reptile,Python molurus,Huffing,Defensive,
Golden Eagle,Bird,Aquila chrysaetos,"Alarm call, harsh chips",Alarm/Alert,
Sambar Deer variant 40,Mammal,Rusa unicolor,"Trumpet, rumble",Alarm/Excited,
Bald Eagle,Bird,Haliaeetus leucocephalus,Mobbing calls,Group Alarm,
Small Indian Civet,Mammal,Viverricula indica,"Trumpet, rumble",Alarm/Excited,when separated from group
White-throated Kingfisher variant 13,Bird,Halcyon smyrnensis,"Chirp, cheep",Contact/Neutral,when threatened
Wild Ass,Mammal,Equus hemionus,"Purr, contented vocalization",Contentment/Relaxed,
Cattle Egret,Bird,Bubulcus ibis,"Song, melodious trills",Courtship/Excited,
Fantail variant 33,Bird,Rhipidura sp.,Purring or soft chatter,Affiliative/Relaxed,during mating display
Star Tortoise variant 78,Reptile,Geochelone elegans,Aggressive lunge sound,Aggression,at dusk
Bengal Tiger,Mammal,Panthera tigris tigris,"Growl, snarl",Aggression,
Tree Sparrow variant 25,Bird,Passer montanus,Soft contact calls,Content/Comfort,
Domestic Dog,Mammal,Canis familiaris,Sniffing/grunting,Exploration/Foraging,
Indian Roller,Bird,Coracias benghalensis,Bill-clacking,Threat,
House Crow,Bird,Corvus splendens,Wing-flap displays,Excitement/Display,
Woodpecker,Bird,Picidae sp.,"Song, melodious trills",Courtship/Excited,when separated from group
Tilapia,Fish,Oreochromis niloticus,Bubble streams,Exploration/Foraging,
Snow Leopard,Mammal,Panthera uncia,Loud bawl,Distress/Alarm,
Chital variant 41,Mammal,Axis axis,Chittering,Playful,
Jungle Owlet,Bird,Glaucidium radiatum,Bill-clacking,Threat,in presence of human
